date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:03	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2005%20Dec%202019%2009:35:02%20GMT	https://proraftingtours.com/robots.txt		(from )
02:35:04	118138/118138	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202019%2009:35:02%20GMT	https://proraftingtours.com/	./data/current/proraftingtours.com/index.html	(from )
02:35:04	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:03%20GMT	https://proraftingtours.com/wp-content/themes/prorafttours/FormPopUp/modals.css	./data/current/proraftingtours.com/wp-content/themes/prorafttours/FormPopUp/modals.css	(from https://proraftingtours.com/)
02:35:05	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:04%20GMT	https://proraftingtours.com/wp-content/themes/prorafttours/FormPopUp/OriginalPopUp.css	./data/current/proraftingtours.com/wp-content/themes/prorafttours/FormPopUp/OriginalPopUp.css	(from https://proraftingtours.com/)
02:35:06	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:05%20GMT	https://proraftingtours.com/wp-includes/css/dist/block-library/style.min.css?ver=5.1.1	./data/current/proraftingtours.com/wp-includes/css/dist/block-library/style.min3c21.css	(from https://proraftingtours.com/)
02:35:07	2075/2075	---M--	200	added ('OK')	application/rss+xml	etag:%22339726ee63675d7a782b46df2c822c90%22	https://proraftingtours.com/feed/	./data/current/proraftingtours.com/feed/index.html	(from https://proraftingtours.com/)
02:35:07	1031/1031	---M-Z	200	added ('OK')	text/css	etag:%22407-586f080d9901e-gzip%22	https://proraftingtours.com/wp-includes/css/dist/block-library/theme.min.css?ver=5.1.1	./data/current/proraftingtours.com/wp-includes/css/dist/block-library/theme.min3c21.css	(from https://proraftingtours.com/)
02:35:07	957/957	---M--	200	added ('OK')	application/rss+xml	etag:%2264470e1c5a075738f48af4bbf4200290%22	https://proraftingtours.com/comments/feed/	./data/current/proraftingtours.com/comments/feed/index.html	(from https://proraftingtours.com/)
02:35:08	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:07%20GMT	https://proraftingtours.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.1	./data/current/proraftingtours.com/wp-content/plugins/contact-form-7/includes/css/styles3c21.css	(from https://proraftingtours.com/)
02:35:09	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:08%20GMT	https://proraftingtours.com/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.10.0	./data/current/proraftingtours.com/wp-content/plugins/siteorigin-panels/css/front-flex.min0ad8.css	(from https://proraftingtours.com/)
02:35:10	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:09%20GMT	https://proraftingtours.com/wp-content/plugins/so-widgets-bundle/css/slider/slider.css?ver=1.14.1	./data/current/proraftingtours.com/wp-content/plugins/so-widgets-bundle/css/slider/slider14b6.css	(from https://proraftingtours.com/)
02:35:11	0/0	UR-M--	412	error ('Precondition%20Failed')	text/css	etag:%22a72-598cf0f3db074%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-da80dcd6cfc7.css?ver=5.1.1	./data/current/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-da80dcd6cfc73c21.css	(from https://proraftingtours.com/)
02:35:12	0/0	UR-M--	412	error ('Precondition%20Failed')	text/css	etag:%22a67-598cf0f3ec9b4%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-5ecb17bd4f64.css?ver=5.1.1	./data/current/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-5ecb17bd4f643c21.css	(from https://proraftingtours.com/)
02:35:13	0/0	UR-M--	412	error ('Precondition%20Failed')	text/css	etag:%22a90-598cf0f403114%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-41b3c415a831.css?ver=5.1.1	./data/current/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-41b3c415a8313c21.css	(from https://proraftingtours.com/)
02:35:14	0/0	UR-M--	412	error ('Precondition%20Failed')	text/css	etag:%22a70-598d1aefa0b74%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-dc7629d50720.css?ver=5.1.1	./data/current/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-dc7629d507203c21.css	(from https://proraftingtours.com/)
02:35:15	0/0	UR-M--	412	error ('Precondition%20Failed')	text/css	etag:%22a73-598cf0f42c154%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-5337f26d103d.css?ver=5.1.1	./data/current/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-5337f26d103d3c21.css	(from https://proraftingtours.com/)
02:35:16	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:15%20GMT	https://proraftingtours.com/wp-content/plugins/so-widgets-bundle/widgets/testimonial/css/style.css?ver=1.14.1	./data/current/proraftingtours.com/wp-content/plugins/so-widgets-bundle/widgets/testimonial/css/style14b6.css	(from https://proraftingtours.com/)
02:35:17	0/0	UR-M--	412	error ('Precondition%20Failed')	text/css	etag:%2212e1-598cf0f43abb4%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-testimonials-default-440893893897.css?ver=5.1.1	./data/current/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-testimonials-default-4408938938973c21.css	(from https://proraftingtours.com/)
